iter	Logloss
0	0.6362919087
1	0.5854577789
2	0.5246739734
3	0.4735878005
4	0.4198889783
5	0.3873351036
6	0.3563798835
7	0.3232640682
8	0.2983287273
9	0.2697176082
10	0.2417725789
11	0.2204574969
12	0.1978333804
13	0.1808289914
14	0.1645339039
15	0.1502921813
16	0.1366844233
17	0.1247672568
18	0.113339941
19	0.1033675599
20	0.09405040864
21	0.08755218677
22	0.08021639196
23	0.07370164175
24	0.0684003137
25	0.06313201483
26	0.05785157164
27	0.05386499907
28	0.04958271853
29	0.04565460487
30	0.04205772605
31	0.03859681694
32	0.03583381003
33	0.03366406942
34	0.03111495078
35	0.02890416059
36	0.02712743612
37	0.02533631571
38	0.02385103821
39	0.02251538372
40	0.02126828828
41	0.02009682387
42	0.01899564187
43	0.01792500936
44	0.01686423611
45	0.01589378218
46	0.01502940894
47	0.01419380308
48	0.01342074666
49	0.01277667678
50	0.01179870926
51	0.01118093683
52	0.01056349821
53	0.01012394014
54	0.009766026117
55	0.009200570034
56	0.008780805859
57	0.008410272306
58	0.008044084997
59	0.00765478607
60	0.007299189398
61	0.006966032219
62	0.006717133054
63	0.006484314735
64	0.006202551864
65	0.005994091408
66	0.005784888183
67	0.005542807616
68	0.005344650537
69	0.005155207352
70	0.004953709955
71	0.004821619164
72	0.00462275016
73	0.004484393012
74	0.004381617796
75	0.004241993549
76	0.004110204369
77	0.003975092393
78	0.003875468631
79	0.003732703713
80	0.003590654685
81	0.003458555331
82	0.003308804518
83	0.003228969974
84	0.003144849683
85	0.00306662706
86	0.002991216857
87	0.002909886865
88	0.002842704521
89	0.002713502108
90	0.002648245032
91	0.002590111494
92	0.002509718921
93	0.002440906974
94	0.002369350478
95	0.002311114738
96	0.002245005635
97	0.002194302559
98	0.002146329839
99	0.00210224595
100	0.002062140012
101	0.002024555111
102	0.001951958041
103	0.001901878484
104	0.001861330517
105	0.001827682258
106	0.001785921503
107	0.001753552712
108	0.001728636742
109	0.00168439182
110	0.001651666471
111	0.00162506048
112	0.001584630969
113	0.001557787986
114	0.001537326804
115	0.001505115082
116	0.001489000856
117	0.001457871255
118	0.001434730223
119	0.001406285467
120	0.001378454796
121	0.001360173237
122	0.001332670341
123	0.001317726325
124	0.001298004423
125	0.001274707431
126	0.001259170421
127	0.001227782341
128	0.001199975535
129	0.0011769038
130	0.001151423935
131	0.001129494579
132	0.001111782307
133	0.001096943981
134	0.001080504517
135	0.001066140412
136	0.001049922636
137	0.001035007798
138	0.001019213578
139	0.001008301825
140	0.0009946313299
141	0.0009829516739
142	0.0009682102381
143	0.0009455354974
144	0.0009324968476
145	0.0009251410754
146	0.0009157430067
147	0.0009029340538
148	0.0008869842711
149	0.0008768160001
150	0.0008690662466
151	0.0008589820208
152	0.0008499254449
153	0.0008420188601
154	0.0008267857603
155	0.0008177066666
156	0.0008093352963
157	0.0007952819998
158	0.0007826124349
159	0.0007751959283
160	0.0007624550043
161	0.0007624407325
162	0.0007536197208
163	0.0007451828588
164	0.0007368540661
165	0.0007368470887
166	0.0007288726335
167	0.0007288726335
168	0.0007270775564
169	0.0007270796179
170	0.0007189542779
171	0.0007189539607
172	0.0007127410437
173	0.0007040796385
174	0.0006958106288
175	0.0006885490506
176	0.0006806178072
177	0.0006806091649
178	0.000670770335
179	0.0006707625648
180	0.0006707629612
181	0.0006707634369
182	0.0006707622476
183	0.0006628031345
184	0.0006540012708
185	0.0006539876333
186	0.0006539808542
187	0.0006469259795
188	0.0006393962894
189	0.0006393803526
190	0.000630054753
191	0.000630044842
192	0.000630044842
193	0.0006300465863
194	0.0006217335719
195	0.0006217301229
196	0.0006217318276
197	0.000621725207
198	0.0006217192208
199	0.0006217233041
200	0.0006143316939
201	0.0006143383937
202	0.0006143355393
203	0.0006143365701
204	0.0006143339536
205	0.0006143339536
206	0.0006143232497
207	0.0006143242805
208	0.0006143108015
209	0.0006058494792
210	0.0006058491224
211	0.0006058491224
212	0.0006058487656
213	0.0006058477348
214	0.0006058482899
215	0.0005963995166
216	0.0005858723095
217	0.0005858723095
218	0.0005858593063
219	0.0005850790345
220	0.0005850790345
221	0.0005772705287
222	0.0005772589527
223	0.0005772536801
224	0.0005772591509
225	0.0005772484074
226	0.0005772367521
227	0.0005772367521
228	0.0005694980593
229	0.0005694980593
230	0.0005694890205
231	0.0005684600623
232	0.0005684660089
233	0.0005684457509
234	0.000568451301
235	0.0005684463852
236	0.0005684342938
237	0.000568446187
238	0.0005684380599
239	0.0005684274354
240	0.0005684287436
241	0.0005684196652
242	0.0005684258496
243	0.000568427594
244	0.000568427594
245	0.0005600975723
246	0.0005600993959
247	0.0005600830626
248	0.0005600848466
249	0.0005600810011
250	0.0005600938854
251	0.0005600790189
252	0.0005600691872
253	0.0005600744202
254	0.0005600762042
255	0.0005600622496
256	0.0005600622892
257	0.0005600570958
258	0.0005600521404
259	0.000560040485
260	0.0005600425069
261	0.0005600356485
262	0.0005600356485
263	0.00056003771
264	0.0005600411193
265	0.0005600411193
266	0.0005600278783
267	0.0005600278783
268	0.0005600278783
269	0.0005600278783
270	0.000560030019
271	0.0005600275215
272	0.0005600275215
273	0.0005600275215
274	0.0005600109503
275	0.0005520752272
276	0.0005520701924
277	0.0005520701924
278	0.0005520703906
279	0.00055206155
280	0.0005439841394
281	0.0005439822365
282	0.0005439760124
283	0.0005439660618
284	0.0005439713741
285	0.0005439713741
286	0.0005439683612
287	0.0005439649121
288	0.0005338012003
289	0.0005338062747
290	0.0005337960862
291	0.0005338091687
292	0.0005338031825
293	0.0005338031825
294	0.000533800566
295	0.0005337948572
296	0.0005337857391
297	0.0005337836776
298	0.0005337721016
299	0.0005337721016
300	0.000533754579
301	0.0005337656
302	0.0005337437166
303	0.0005337520814
304	0.0005337483946
305	0.0005337397522
306	0.0005337427651
307	0.0005337355499
308	0.0005337299205
309	0.0005337338849
310	0.0005337266697
311	0.0005337285329
312	0.0005337256389
313	0.0005337256389
314	0.000533723736
315	0.0005337230621
316	0.0005337119221
317	0.0005337109707
318	0.000533706372
319	0.000533706372
320	0.0005337099796
321	0.0005337021301
322	0.0005336973332
323	0.0005336972142
324	0.0005337026058
325	0.0005336937652
326	0.0005336937652
327	0.0005336937652
328	0.0005336834578
329	0.0005336859157
330	0.000533678423
331	0.0005336683535
332	0.0005336683535
333	0.000533670851
334	0.000533670851
335	0.0005336644287
336	0.0005336572928
337	0.0005336455582
338	0.0005336461925
339	0.0005336492054
340	0.0005336492054
341	0.0005336357662
342	0.0005336373916
343	0.0005336282735
344	0.0005336303349
345	0.0005336141602
346	0.0005336243487
347	0.0005336190761
348	0.0005336172524
349	0.0005336129709
350	0.0005336129709
351	0.000525673878
352	0.0005256553643
353	0.0005256640067
354	0.0005256640067
355	0.0005256615884
356	0.0005256495366
357	0.0005256418457
358	0.0005256406564
359	0.0005256406564
360	0.0005256363749
361	0.0005256236095
362	0.000525624997
363	0.0005256163547
364	0.000525618099
365	0.0005256182179
366	0.0005256182179
367	0.0005256140157
368	0.0005256129056
369	0.0005256046597
370	0.0005256046597
371	0.0005256077519
372	0.0005256017261
373	0.0005255974842
374	0.0005255893572
375	0.000525588485
376	0.0005255919737
377	0.0005255673151
378	0.0005255705659
379	0.0005255648572
380	0.0005255633507
381	0.0005255643418
382	0.0005255555805
383	0.0005255555805
384	0.000525557642
385	0.0005255532019
386	0.0005255463435
387	0.0005255479292
388	0.000525539723
389	0.0005255391679
390	0.0005255359171
391	0.0005255359171
