iter	Passed	Remaining
190	950	4027
191	954	4017
192	958	4008
193	963	4002
194	967	3995
195	971	3984
196	975	3976
197	979	3968
198	983	3959
199	987	3950
200	992	3945
201	996	3937
202	1000	3929
203	1004	3920
204	1009	3915
205	1014	3908
206	1017	3899
207	1022	3893
208	1027	3888
209	1031	3882
210	1035	3872
211	1039	3864
212	1043	3856
213	1047	3847
214	1051	3838
215	1055	3830
216	1059	3823
217	1063	3815
218	1067	3805
219	1071	3797
220	1075	3789
221	1079	3783
222	1083	3774
223	1087	3766
224	1091	3759
225	1095	3751
226	1099	3743
227	1102	3734
228	1107	3729
229	1111	3720
230	1115	3712
231	1119	3706
232	1123	3698
233	1127	3692
234	1131	3683
235	1135	3677
236	1140	3670
237	1144	3663
238	1148	3655
239	1152	3648
240	1156	3642
241	1160	3636
242	1164	3627
243	1168	3621
244	1173	3615
245	1177	3609
246	1181	3601
247	1186	3596
248	1190	3591
249	1194	3584
250	1198	3576
251	1203	3572
252	1207	3565
253	1211	3558
254	1215	3551
255	1220	3546
256	1224	3540
257	1228	3532
258	1232	3526
259	1237	3521
260	1241	3513
261	1245	3507
262	1249	3501
263	1253	3495
264	1257	3488
265	1261	3481
266	1266	3475
267	1269	3468
268	1273	3461
269	1277	3453
270	1281	3448
271	1285	3441
272	1289	3434
273	1293	3426
274	1297	3420
275	1301	3415
276	1305	3407
277	1309	3399
278	1313	3394
279	1317	3387
280	1321	3381
281	1325	3374
282	1329	3368
283	1333	3361
284	1337	3354
285	1340	3346
286	1344	3340
287	1348	3333
288	1351	3323
289	1355	3317
290	1358	3310
291	1363	3304
292	1366	3297
293	1370	3291
294	1374	3284
295	1378	3278
296	1381	3270
297	1385	3263
298	1389	3256
299	1392	3250
300	1396	3243
301	1400	3236
302	1404	3230
303	1407	3223
304	1411	3216
305	1415	3209
306	1418	3202
307	1422	3195
308	1426	3190
309	1430	3183
310	1434	3176
311	1437	3170
312	1441	3163
313	1445	3157
314	1448	3150
315	1452	3143
316	1456	3137
317	1459	3131
318	1463	3125
319	1467	3118
320	1471	3112
321	1475	3105
322	1478	3099
323	1482	3093
324	1486	3086
325	1490	3081
326	1493	3074
327	1497	3068
328	1501	3061
329	1505	3056
330	1509	3050
331	1512	3044
332	1516	3037
333	1520	3032
334	1524	3026
335	1528	3020
336	1531	3013
337	1536	3008
338	1539	3002
339	1544	2997
340	1547	2991
341	1551	2985
342	1556	2980
343	1560	2975
344	1564	2969
345	1568	2964
346	1572	2958
347	1576	2954
348	1580	2948
349	1585	2943
350	1588	2937
351	1592	2932
352	1596	2926
353	1601	2921
354	1604	2916
355	1608	2910
356	1612	2905
357	1617	2900
358	1621	2894
359	1625	2889
360	1629	2884
361	1633	2879
362	1637	2874
363	1640	2867
364	1644	2860
365	1649	2856
366	1653	2851
367	1657	2846
368	1660	2840
369	1665	2835
370	1669	2829
371	1673	2825
372	1678	2820
373	1682	2815
374	1686	2810
375	1690	2805
376	1694	2799
377	1698	2795
378	1702	2790
379	1707	2785
380	1710	2779
381	1715	2775
382	1719	2770
383	1723	2764
384	1727	2759
385	1732	2756
386	1737	2751
387	1741	2746
388	1746	2743
389	1750	2738
390	1754	2733
391	1759	2728
392	1763	2724
393	1768	2719
394	1772	2715
395	1777	2711
396	1781	2705
397	1785	2700
398	1789	2695
399	1793	2690
400	1796	2684
401	1800	2679
402	1804	2673
403	1809	2670
404	1813	2664
405	1817	2659
406	1821	2653
407	1826	2650
408	1830	2645
409	1834	2639
410	1838	2634
411	1842	2629
412	1846	2624
413	1850	2619
414	1854	2613
415	1858	2609
416	1862	2604
417	1867	2599
418	1871	2595
419	1877	2592
420	1881	2587
421	1885	2582
422	1890	2578
